scope	status	symbol	expected_crc	expected_provider	actual
candidate-builtin	ok	___ratelimit	5239ce3b	vmlinux+__crc+__ksymtab	symvers=5239ce3b@vmlinux[line=4885];vmlinux=5239ce3b@__crc____ratelimit[line=37847];ksymtab=1
candidate-builtin	ok	__alloc_skb	2ed30fda	vmlinux+__crc+__ksymtab	symvers=2ed30fda@vmlinux[line=5793];vmlinux=2ed30fda@__crc___alloc_skb[line=37853];ksymtab=1
candidate-builtin	ok	__alloc_workqueue_key	43a53735	vmlinux+__crc+__ksymtab	symvers=43a53735@vmlinux[line=5994];vmlinux=43a53735@__crc___alloc_workqueue_key[line=37854];ksymtab=1
candidate-builtin	ok	__arch_copy_from_user	84bc974b	vmlinux+__crc+__ksymtab	symvers=84bc974b@vmlinux[line=793];vmlinux=84bc974b@__crc___arch_copy_from_user[line=37855];ksymtab=1
candidate-builtin	ok	__arch_copy_to_user	b35dea8f	vmlinux+__crc+__ksymtab	symvers=b35dea8f@vmlinux[line=952];vmlinux=b35dea8f@__crc___arch_copy_to_user[line=37856];ksymtab=1
candidate-builtin	ok	__cfg80211_alloc_event_skb	73c863d1	vmlinux+__crc+__ksymtab	symvers=73c863d1@vmlinux[line=1106];vmlinux=73c863d1@__crc___cfg80211_alloc_event_skb[line=37895];ksymtab=1
candidate-builtin	ok	__cfg80211_alloc_reply_skb	5e7a05e2	vmlinux+__crc+__ksymtab	symvers=5e7a05e2@vmlinux[line=2306];vmlinux=5e7a05e2@__crc___cfg80211_alloc_reply_skb[line=37896];ksymtab=1
candidate-builtin	ok	__cfg80211_send_event_skb	d535011c	vmlinux+__crc+__ksymtab	symvers=d535011c@vmlinux[line=3178];vmlinux=d535011c@__crc___cfg80211_send_event_skb[line=37897];ksymtab=1
candidate-builtin	ok	__check_object_size	88db9f48	vmlinux+__crc+__ksymtab	symvers=88db9f48@vmlinux[line=1060];vmlinux=88db9f48@__crc___check_object_size[line=37898];ksymtab=1
candidate-builtin	ok	__class_create	6a6e1425	vmlinux+__crc+__ksymtab	symvers=6a6e1425@vmlinux[line=2492];vmlinux=6a6e1425@__crc___class_create[line=37901];ksymtab=1
candidate-builtin	ok	__const_udelay	eae3dfd6	vmlinux+__crc+__ksymtab	symvers=eae3dfd6@vmlinux[line=1091];vmlinux=eae3dfd6@__crc___const_udelay[line=37920];ksymtab=1
candidate-builtin	ok	__dynamic_pr_debug	7584d268	vmlinux+__crc+__ksymtab	symvers=7584d268@vmlinux[line=1755];vmlinux=7584d268@__crc___dynamic_pr_debug[line=37964];ksymtab=1
candidate-builtin	ok	__genl_register_family	46639363	vmlinux+__crc+__ksymtab	symvers=46639363@vmlinux[line=6165];vmlinux=46639363@__crc___genl_register_family[line=37987];ksymtab=1
