# stock k50sv1_64_bsp vmlinux battery meter tables, recovered by shape scan (session 19)

# ZCV table 0 at 0xffffffc00119bf80 (percentage, mV)
0,4336
1,4305
2,4283
3,4265
4,4250
5,4237
6,4226
7,4216
8,4197
9,4188
10,4179
11,4170
12,4161
13,4152
14,4142
15,4132
16,4121
17,4111
18,4100
19,4090
20,4079
21,4057
22,4046
23,4034
24,4023
25,4012
26,4001
27,3990
28,3979
29,3968
30,3957
31,3947
32,3936
33,3925
34,3914
35,3893
36,3882
37,3872
38,3861
39,3850
40,3839
41,3828
42,3817
43,3806
44,3794
45,3784
46,3773
47,3763
48,3753
49,3736
51,3721
52,3714
53,3708
54,3702
55,3696
56,3691
57,3686
58,3681
59,3677
60,3673
61,3668
62,3661
63,3657
64,3654
65,3650
66,3647
67,3643
68,3640
69,3636
70,3633
71,3629
72,3626
73,3622
74,3618
75,3614
76,3606
77,3601
78,3596
79,3591
80,3586
81,3581
82,3575
83,3569
84,3563
85,3557
86,3550
87,3543
88,3535
89,3527
90,3509
91,3500
92,3491
93,3480
94,3468
95,3459
96,3451
97,3443
98,3434
99,3422
100,3405

# ZCV table 1 at 0xffffffc00119c2a0 (percentage, mV)
0,4336
1,4305
2,4283
3,4265
4,4250
5,4237
6,4226
7,4216
8,4197
9,4188
10,4179
11,4170
12,4161
13,4152
14,4142
15,4132
16,4121
17,4111
18,4100
19,4090
20,4079
21,4057
22,4046
23,4034
24,4023
25,4012
26,4001
27,3990
28,3979
29,3968
30,3957
31,3947
32,3936
33,3925
34,3914
35,3893
36,3882
37,3872
38,3861
39,3850
40,3839
41,3828
42,3817
43,3806
44,3794
45,3784
46,3773
47,3763
48,3753
49,3736
51,3721
52,3714
53,3708
54,3702
55,3696
56,3691
57,3686
58,3681
59,3677
60,3673
61,3668
62,3661
63,3657
64,3654
65,3650
66,3647
67,3643
68,3640
69,3636
70,3633
71,3629
72,3626
73,3622
74,3618
75,3614
76,3606
77,3601
78,3596
79,3591
80,3586
81,3581
82,3575
83,3569
84,3563
85,3557
86,3550
87,3543
88,3535
89,3527
90,3509
91,3500
92,3491
93,3480
94,3468
95,3459
96,3451
97,3443
98,3434
99,3422
100,3405

# ZCV table 2 at 0xffffffc00119c5c0 (percentage, mV)
0,4336
1,4305
2,4283
3,4265
4,4250
5,4237
6,4226
7,4216
8,4197
9,4188
10,4179
11,4170
12,4161
13,4152
14,4142
15,4132
16,4121
17,4111
18,4100
19,4090
20,4079
21,4057
22,4046
23,4034
24,4023
25,4012
26,4001
27,3990
28,3979
29,3968
30,3957
31,3947
32,3936
33,3925
34,3914
35,3893
36,3882
37,3872
38,3861
39,3850
40,3839
41,3828
42,3817
43,3806
44,3794
45,3784
46,3773
47,3763
48,3753
49,3736
51,3721
52,3714
53,3708
54,3702
55,3696
56,3691
57,3686
58,3681
59,3677
60,3673
61,3668
62,3661
63,3657
64,3654
65,3650
66,3647
67,3643
68,3640
69,3636
70,3633
71,3629
72,3626
73,3622
74,3618
75,3614
76,3606
77,3601
78,3596
79,3591
80,3586
81,3581
82,3575
83,3569
84,3563
85,3557
86,3550
87,3543
88,3535
89,3527
90,3509
91,3500
92,3491
93,3480
94,3468
95,3459
96,3451
97,3443
98,3434
99,3422
100,3405

# ZCV table 3 at 0xffffffc00119c8e0 (percentage, mV)
0,4336
1,4305
2,4283
3,4265
4,4250
5,4237
6,4226
7,4216
8,4197
9,4188
10,4179
11,4170
12,4161
13,4152
14,4142
15,4132
16,4121
17,4111
18,4100
19,4090
20,4079
21,4057
22,4046
23,4034
24,4023
25,4012
26,4001
27,3990
28,3979
29,3968
30,3957
31,3947
32,3936
33,3925
34,3914
35,3893
36,3882
37,3872
38,3861
39,3850
40,3839
41,3828
42,3817
43,3806
44,3794
45,3784
46,3773
47,3763
48,3753
49,3736
51,3721
52,3714
53,3708
54,3702
55,3696
56,3691
57,3686
58,3681
59,3677
60,3673
61,3668
62,3661
63,3657
64,3654
65,3650
66,3647
67,3643
68,3640
69,3636
70,3633
71,3629
72,3626
73,3622
74,3618
75,3614
76,3606
77,3601
78,3596
79,3591
80,3586
81,3581
82,3575
83,3569
84,3563
85,3557
86,3550
87,3543
88,3535
89,3527
90,3509
91,3500
92,3491
93,3480
94,3468
95,3459
96,3451
97,3443
98,3434
99,3422
100,3405
