  PID  PPID USER         NAME                        ARGS                       
    1     0 root         init                        init second_stage
    2     0 root         [kthreadd]                  [kthreadd]
    3     2 root         [ksoftirqd/0]               [ksoftirqd/0]
    5     2 root         [kworker/0:0H]              [kworker/0:0H]
    7     2 root         [rcu_preempt]               [rcu_preempt]
    8     2 root         [rcu_sched]                 [rcu_sched]
    9     2 root         [rcu_bh]                    [rcu_bh]
   10     2 root         [migration/0]               [migration/0]
   11     2 root         [migration/1]               [migration/1]
   12     2 root         [ksoftirqd/1]               [ksoftirqd/1]
   14     2 root         [kworker/1:0H]              [kworker/1:0H]
   15     2 root         [migration/2]               [migration/2]
   16     2 root         [ksoftirqd/2]               [ksoftirqd/2]
   18     2 root         [kworker/2:0H]              [kworker/2:0H]
   19     2 root         [migration/3]               [migration/3]
   20     2 root         [ksoftirqd/3]               [ksoftirqd/3]
   22     2 root         [kworker/3:0H]              [kworker/3:0H]
   23     2 root         [migration/4]               [migration/4]
   24     2 root         [ksoftirqd/4]               [ksoftirqd/4]
   26     2 root         [kworker/4:0H]              [kworker/4:0H]
   27     2 root         [migration/5]               [migration/5]
   28     2 root         [ksoftirqd/5]               [ksoftirqd/5]
   30     2 root         [kworker/5:0H]              [kworker/5:0H]
   31     2 root         [migration/6]               [migration/6]
   32     2 root         [ksoftirqd/6]               [ksoftirqd/6]
   34     2 root         [kworker/6:0H]              [kworker/6:0H]
   35     2 root         [migration/7]               [migration/7]
   36     2 root         [ksoftirqd/7]               [ksoftirqd/7]
   38     2 root         [kworker/7:0H]              [kworker/7:0H]
   39     2 root         [khelper]                   [khelper]
   40     2 root         [perf]                      [perf]
   41     2 root         [writeback]                 [writeback]
   42     2 root         [crypto]                    [crypto]
   43     2 root         [bioset]                    [bioset]
   44     2 root         [kblockd]                   [kblockd]
   45     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   46     2 root         [cmdq_task]                 [cmdq_task]
   47     2 root         [cmdq_resource]             [cmdq_resource]
   48     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   49     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   50     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   51     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   52     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   53     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   54     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   55     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   56     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   57     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   58     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   59     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   60     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   61     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   62     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   63     2 root         [cmdq_auto_relea]           [cmdq_auto_relea]
   65     2 root         [pool_reload_wor]           [pool_reload_wor]
   66     2 root         [conn-md-thread]            [conn-md-thread]
   67     2 root         [md]                        [md]
   69     2 root         [cfg80211]                  [cfg80211]
   70     2 root         [pmic_thread]               [pmic_thread]
   71     2 root         [bat_percent_not]           [bat_percent_not]
   72     2 root         [dlpt_notify_thr]           [dlpt_notify_thr]
   73     2 root         [cfinteractive]             [cfinteractive]
   74     2 root         [ion_mm_heap]               [ion_mm_heap]
   75     2 root         [ion_mm_heap_for]           [ion_mm_heap_for]
   76     2 root         [ion_mm_heap_map]           [ion_mm_heap_map]
   77     2 root         [ion_history]               [ion_history]
   89     2 root         [kswapd0]                   [kswapd0]
   90     2 root         [fsnotify_mark]             [fsnotify_mark]
   91     2 root         [fuse_log]                  [fuse_log]
  114     2 root         [emi_mpu]                   [emi_mpu]
  115     2 root         [mt_gpufreq_inpu]           [mt_gpufreq_inpu]
  116     2 root         [pbm]                       [pbm]
  152     2 root         [mtk_vibrator]              [mtk_vibrator]
  153     2 root         [accdet]                    [accdet]
  154     2 root         [accdet_disable]            [accdet_disable]
  155     2 root         [accdet_eint]               [accdet_eint]
  156     2 root         [pcv_flow_ctrl]             [pcv_flow_ctrl]
  157     2 root         [pcv_tx_wq]                 [pcv_tx_wq]
  158     2 root         [modem_flow_ctrl]           [modem_flow_ctrl]
  159     2 root         [modem_tx_wq]               [modem_tx_wq]
  160     2 root         [dummy0_flow_ctr]           [dummy0_flow_ctr]
  161     2 root         [dummy0_tx_wq]              [dummy0_tx_wq]
  162     2 root         [at_flow_ctrl]              [at_flow_ctrl]
  163     2 root         [at_tx_wq]                  [at_tx_wq]
  164     2 root         [gps_flow_ctrl]             [gps_flow_ctrl]
  165     2 root         [gps_tx_wq]                 [gps_tx_wq]
  166     2 root         [dummy1_flow_ctr]           [dummy1_flow_ctr]
  167     2 root         [dummy1_tx_wq]              [dummy1_tx_wq]
