scope	status	symbol	expected_crc	expected_provider	actual
candidate-builtin	ok	___ratelimit	5239ce3b	vmlinux+__crc+__ksymtab	symvers=5239ce3b@vmlinux[line=4887];vmlinux=5239ce3b@__crc____ratelimit[line=38000];ksymtab=1
candidate-builtin	ok	__alloc_skb	2ed30fda	vmlinux+__crc+__ksymtab	symvers=2ed30fda@vmlinux[line=5795];vmlinux=2ed30fda@__crc___alloc_skb[line=38006];ksymtab=1
candidate-builtin	ok	__alloc_workqueue_key	43a53735	vmlinux+__crc+__ksymtab	symvers=43a53735@vmlinux[line=5996];vmlinux=43a53735@__crc___alloc_workqueue_key[line=38007];ksymtab=1
candidate-builtin	ok	__arch_copy_from_user	84bc974b	vmlinux+__crc+__ksymtab	symvers=84bc974b@vmlinux[line=793];vmlinux=84bc974b@__crc___arch_copy_from_user[line=38008];ksymtab=1
candidate-builtin	ok	__arch_copy_to_user	b35dea8f	vmlinux+__crc+__ksymtab	symvers=b35dea8f@vmlinux[line=952];vmlinux=b35dea8f@__crc___arch_copy_to_user[line=38009];ksymtab=1
candidate-builtin	ok	__cfg80211_alloc_event_skb	73c863d1	vmlinux+__crc+__ksymtab	symvers=73c863d1@vmlinux[line=1106];vmlinux=73c863d1@__crc___cfg80211_alloc_event_skb[line=38048];ksymtab=1
candidate-builtin	ok	__cfg80211_alloc_reply_skb	5e7a05e2	vmlinux+__crc+__ksymtab	symvers=5e7a05e2@vmlinux[line=2305];vmlinux=5e7a05e2@__crc___cfg80211_alloc_reply_skb[line=38049];ksymtab=1
candidate-builtin	ok	__cfg80211_send_event_skb	d535011c	vmlinux+__crc+__ksymtab	symvers=d535011c@vmlinux[line=3177];vmlinux=d535011c@__crc___cfg80211_send_event_skb[line=38050];ksymtab=1
candidate-builtin	ok	__check_object_size	88db9f48	vmlinux+__crc+__ksymtab	symvers=88db9f48@vmlinux[line=1060];vmlinux=88db9f48@__crc___check_object_size[line=38051];ksymtab=1
candidate-builtin	ok	__class_create	6a6e1425	vmlinux+__crc+__ksymtab	symvers=6a6e1425@vmlinux[line=2491];vmlinux=6a6e1425@__crc___class_create[line=38054];ksymtab=1
candidate-builtin	ok	__const_udelay	eae3dfd6	vmlinux+__crc+__ksymtab	symvers=eae3dfd6@vmlinux[line=1091];vmlinux=eae3dfd6@__crc___const_udelay[line=38073];ksymtab=1
candidate-builtin	ok	__dynamic_pr_debug	7584d268	vmlinux+__crc+__ksymtab	symvers=7584d268@vmlinux[line=1754];vmlinux=7584d268@__crc___dynamic_pr_debug[line=38117];ksymtab=1
candidate-builtin	ok	__genl_register_family	46639363	vmlinux+__crc+__ksymtab	symvers=46639363@vmlinux[line=6167];vmlinux=46639363@__crc___genl_register_family[line=38140];ksymtab=1
candidate-builtin	ok	__ieee80211_get_channel	da600c17	vmlinux+__crc+__ksymtab	symvers=da600c17@vmlinux[line=5756];vmlinux=da600c17@__crc___ieee80211_get_channel[line=38168];ksymtab=1
candidate-builtin	ok	__init_rwsem	c0642665	vmlinux+__crc+__ksymtab	symvers=c0642665@vmlinux[line=1632];vmlinux=c0642665@__crc___init_rwsem[line=38179];ksymtab=1
candidate-builtin	ok	__init_waitqueue_head	ab40cca9	vmlinux+__crc+__ksymtab	symvers=ab40cca9@vmlinux[line=1354];vmlinux=ab40cca9@__crc___init_waitqueue_head[line=38180];ksymtab=1
candidate-builtin	ok	__ioremap	2724ba66	vmlinux+__crc+__ksymtab	symvers=2724ba66@vmlinux[line=3879];vmlinux=2724ba66@__crc___ioremap[line=38186];ksymtab=1
candidate-builtin	ok	__iounmap	45a55ec8	vmlinux+__crc+__ksymtab	symvers=45a55ec8@vmlinux[line=2959];vmlinux=45a55ec8@__crc___iounmap[line=38187];ksymtab=1
candidate-builtin	ok	__kfifo_alloc	97868aef	vmlinux+__crc+__ksymtab	symvers=97868aef@vmlinux[line=21];vmlinux=97868aef@__crc___kfifo_alloc[line=38203];ksymtab=1
candidate-builtin	ok	__kfifo_free	db760f52	vmlinux+__crc+__ksymtab	symvers=db760f52@vmlinux[line=2229];vmlinux=db760f52@__crc___kfifo_free[line=38210];ksymtab=1
candidate-builtin	ok	__kfifo_in	f23fcb99	vmlinux+__crc+__ksymtab	symvers=f23fcb99@vmlinux[line=967];vmlinux=f23fcb99@__crc___kfifo_in[line=38213];ksymtab=1
candidate-builtin	ok	__kfifo_init	bd462b55	vmlinux+__crc+__ksymtab	symvers=bd462b55@vmlinux[line=4496];vmlinux=bd462b55@__crc___kfifo_init[line=38215];ksymtab=1
candidate-builtin	ok	__kfifo_out	13d0adf7	vmlinux+__crc+__ksymtab	symvers=13d0adf7@vmlinux[line=4967];vmlinux=13d0adf7@__crc___kfifo_out[line=38218];ksymtab=1
candidate-builtin	ok	__kmalloc	d2b09ce5	vmlinux+__crc+__ksymtab	symvers=d2b09ce5@vmlinux[line=2173];vmlinux=d2b09ce5@__crc___kmalloc[line=38226];ksymtab=1
candidate-builtin	ok	__memcpy_fromio	5d112304	vmlinux+__crc+__ksymtab	symvers=5d112304@vmlinux[line=4928];vmlinux=5d112304@__crc___memcpy_fromio[line=38233];ksymtab=1
