eng.desmon.20260904.232131
a99ed371-e15c-42b2-a9ee-1d9a996cfdaf

rootfs / rootfs rw,seclabel 0 0
tmpfs /dev tmpfs rw,seclabel,nosuid,relatime,mode=755 0 0
devpts /dev/pts devpts rw,seclabel,relatime,mode=600 0 0
proc /proc proc rw,relatime,gid=3009,hidepid=2 0 0
sysfs /sys sysfs rw,seclabel,relatime 0 0
selinuxfs /sys/fs/selinux selinuxfs rw,relatime 0 0
tmpfs /mnt tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000 0 0
tmpfs /apex tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system / ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/vendor /vendor ext4 ro,seclabel,relatime 0 0
none /dev/cpuctl cgroup rw,nosuid,nodev,noexec,relatime,cpu 0 0
none /acct cgroup rw,nosuid,nodev,noexec,relatime,cpuacct 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.tzdata@290000000 ext4 ro,seclabel,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.tzdata ext4 ro,seclabel,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.runtime@1 ext4 ro,seclabel,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.runtime ext4 ro,seclabel,relatime 0 0
none /config configfs rw,nosuid,nodev,noexec,relatime 0 0
pstore /sys/fs/pstore pstore rw,seclabel,nosuid,nodev,noexec,relatime 0 0
debugfs /sys/kernel/debug debugfs rw,seclabel,relatime 0 0
tracefs /sys/kernel/debug/tracing tracefs rw,seclabel,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/userdata /data ext4 rw,seclabel,nosuid,nodev,noatime,noauto_da_alloc,data=ordered 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/cache /cache ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,data=ordered 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/protect1 /mnt/vendor/protect_f ext4 rw,seclabel,nosuid,nodev,noatime,nodelalloc,noauto_da_alloc,commit=1,data=ordered 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/protect2 /mnt/vendor/protect_s ext4 rw,seclabel,nosuid,nodev,noatime,nodelalloc,noauto_da_alloc,commit=1,data=ordered 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/nvdata /mnt/vendor/nvdata ext4 rw,seclabel,nosuid,nodev,noatime,noauto_da_alloc,commit=1,data=ordered 0 0
adb /dev/usb-ffs/adb functionfs rw,relatime 0 0
tmpfs /storage tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.conscrypt@299900000 ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.conscrypt ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.media.swcodec@290000000 ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.media.swcodec ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.resolv@290000000 ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.resolv ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.media@290000000 ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/system /apex/com.android.media ext4 ro,seclabel,nodev,relatime 0 0
