scope	status	symbol	expected_crc	expected_provider	actual
candidate-builtin	ok	___ratelimit	5239ce3b	vmlinux+__crc+__ksymtab	symvers=5239ce3b@vmlinux[line=4955];vmlinux=5239ce3b@__crc____ratelimit[line=37991];ksymtab=1
candidate-builtin	ok	__alloc_skb	2ed30fda	vmlinux+__crc+__ksymtab	symvers=2ed30fda@vmlinux[line=5873];vmlinux=2ed30fda@__crc___alloc_skb[line=37997];ksymtab=1
candidate-builtin	ok	__alloc_workqueue_key	43a53735	vmlinux+__crc+__ksymtab	symvers=43a53735@vmlinux[line=6078];vmlinux=43a53735@__crc___alloc_workqueue_key[line=37998];ksymtab=1
candidate-builtin	ok	__arch_copy_from_user	84bc974b	vmlinux+__crc+__ksymtab	symvers=84bc974b@vmlinux[line=807];vmlinux=84bc974b@__crc___arch_copy_from_user[line=37999];ksymtab=1
candidate-builtin	ok	__arch_copy_to_user	b35dea8f	vmlinux+__crc+__ksymtab	symvers=b35dea8f@vmlinux[line=967];vmlinux=b35dea8f@__crc___arch_copy_to_user[line=38000];ksymtab=1
candidate-builtin	ok	__cfg80211_alloc_event_skb	73c863d1	vmlinux+__crc+__ksymtab	symvers=73c863d1@vmlinux[line=1124];vmlinux=73c863d1@__crc___cfg80211_alloc_event_skb[line=38039];ksymtab=1
candidate-builtin	ok	__cfg80211_alloc_reply_skb	5e7a05e2	vmlinux+__crc+__ksymtab	symvers=5e7a05e2@vmlinux[line=2332];vmlinux=5e7a05e2@__crc___cfg80211_alloc_reply_skb[line=38040];ksymtab=1
candidate-builtin	ok	__cfg80211_send_event_skb	d535011c	vmlinux+__crc+__ksymtab	symvers=d535011c@vmlinux[line=3217];vmlinux=d535011c@__crc___cfg80211_send_event_skb[line=38041];ksymtab=1
candidate-builtin	ok	__check_object_size	88db9f48	vmlinux+__crc+__ksymtab	symvers=88db9f48@vmlinux[line=1076];vmlinux=88db9f48@__crc___check_object_size[line=38042];ksymtab=1
candidate-builtin	ok	__class_create	6a6e1425	vmlinux+__crc+__ksymtab	symvers=6a6e1425@vmlinux[line=2521];vmlinux=6a6e1425@__crc___class_create[line=38045];ksymtab=1
candidate-builtin	ok	__const_udelay	eae3dfd6	vmlinux+__crc+__ksymtab	symvers=eae3dfd6@vmlinux[line=1107];vmlinux=eae3dfd6@__crc___const_udelay[line=38064];ksymtab=1
candidate-builtin	ok	__dynamic_pr_debug	7584d268	vmlinux+__crc+__ksymtab	symvers=7584d268@vmlinux[line=1777];vmlinux=7584d268@__crc___dynamic_pr_debug[line=38108];ksymtab=1
candidate-builtin	ok	__genl_register_family	46639363	vmlinux+__crc+__ksymtab	symvers=46639363@vmlinux[line=6253];vmlinux=46639363@__crc___genl_register_family[line=38131];ksymtab=1
candidate-builtin	ok	__ieee80211_get_channel	da600c17	vmlinux+__crc+__ksymtab	symvers=da600c17@vmlinux[line=5834];vmlinux=da600c17@__crc___ieee80211_get_channel[line=38159];ksymtab=1
candidate-builtin	ok	__init_rwsem	c0642665	vmlinux+__crc+__ksymtab	symvers=c0642665@vmlinux[line=1654];vmlinux=c0642665@__crc___init_rwsem[line=38170];ksymtab=1
candidate-builtin	ok	__init_waitqueue_head	ab40cca9	vmlinux+__crc+__ksymtab	symvers=ab40cca9@vmlinux[line=1375];vmlinux=ab40cca9@__crc___init_waitqueue_head[line=38171];ksymtab=1
candidate-builtin	ok	__ioremap	2724ba66	vmlinux+__crc+__ksymtab	symvers=2724ba66@vmlinux[line=3927];vmlinux=2724ba66@__crc___ioremap[line=38177];ksymtab=1
candidate-builtin	ok	__iounmap	45a55ec8	vmlinux+__crc+__ksymtab	symvers=45a55ec8@vmlinux[line=2995];vmlinux=45a55ec8@__crc___iounmap[line=38178];ksymtab=1
candidate-builtin	ok	__kfifo_alloc	97868aef	vmlinux+__crc+__ksymtab	symvers=97868aef@vmlinux[line=21];vmlinux=97868aef@__crc___kfifo_alloc[line=38194];ksymtab=1
candidate-builtin	ok	__kfifo_free	db760f52	vmlinux+__crc+__ksymtab	symvers=db760f52@vmlinux[line=2255];vmlinux=db760f52@__crc___kfifo_free[line=38201];ksymtab=1
candidate-builtin	ok	__kfifo_in	f23fcb99	vmlinux+__crc+__ksymtab	symvers=f23fcb99@vmlinux[line=983];vmlinux=f23fcb99@__crc___kfifo_in[line=38204];ksymtab=1
candidate-builtin	ok	__kfifo_init	bd462b55	vmlinux+__crc+__ksymtab	symvers=bd462b55@vmlinux[line=4551];vmlinux=bd462b55@__crc___kfifo_init[line=38206];ksymtab=1
candidate-builtin	ok	__kfifo_out	13d0adf7	vmlinux+__crc+__ksymtab	symvers=13d0adf7@vmlinux[line=5035];vmlinux=13d0adf7@__crc___kfifo_out[line=38209];ksymtab=1
candidate-builtin	ok	__kmalloc	d2b09ce5	vmlinux+__crc+__ksymtab	symvers=d2b09ce5@vmlinux[line=2199];vmlinux=d2b09ce5@__crc___kmalloc[line=38217];ksymtab=1
candidate-builtin	ok	__memcpy_fromio	5d112304	vmlinux+__crc+__ksymtab	symvers=5d112304@vmlinux[line=4996];vmlinux=5d112304@__crc___memcpy_fromio[line=38224];ksymtab=1
candidate-builtin	ok	__memcpy_toio	f77555cd	vmlinux+__crc+__ksymtab	symvers=f77555cd@vmlinux[line=557];vmlinux=f77555cd@__crc___memcpy_toio[line=38225];ksymtab=1
candidate-builtin	ok	__memset_io	18b48e28	vmlinux+__crc+__ksymtab	symvers=18b48e28@vmlinux[line=3068];vmlinux=18b48e28@__crc___memset_io[line=38226];ksymtab=1
candidate-builtin	ok	__mutex_init	3a567481	vmlinux+__crc+__ksymtab	symvers=3a567481@vmlinux[line=4389];vmlinux=3a567481@__crc___mutex_init[line=38237];ksymtab=1
candidate-builtin	ok	__netdev_alloc_skb	4e84734b	vmlinux+__crc+__ksymtab	symvers=4e84734b@vmlinux[line=1142];vmlinux=4e84734b@__crc___netdev_alloc_skb[line=38246];ksymtab=1
candidate-builtin	ok	__netlink_kernel_create	61c2a572	vmlinux+__crc+__ksymtab	symvers=61c2a572@vmlinux[line=221];vmlinux=61c2a572@__crc___netlink_kernel_create[line=38249];ksymtab=1
candidate-builtin	ok	__nlmsg_put	69ebe004	vmlinux+__crc+__ksymtab	symvers=69ebe004@vmlinux[line=6739];vmlinux=69ebe004@__crc___nlmsg_put[line=38267];ksymtab=1
candidate-builtin	ok	__platform_driver_register	e7d4cefb	vmlinux+__crc+__ksymtab	symvers=e7d4cefb@vmlinux[line=4059];vmlinux=e7d4cefb@__crc___platform_driver_register[line=38278];ksymtab=1
candidate-builtin	ok	__pm_relax	fa7e566d	vmlinux+__crc+__ksymtab	symvers=fa7e566d@vmlinux[line=5918];vmlinux=fa7e566d@__crc___pm_relax[line=38279];ksymtab=1
candidate-builtin	ok	__pm_stay_awake	4b09d20b	vmlinux+__crc+__ksymtab	symvers=4b09d20b@vmlinux[line=4903];vmlinux=4b09d20b@__crc___pm_stay_awake[line=38280];ksymtab=1
candidate-builtin	ok	__pm_wakeup_event	98ec6f6f	vmlinux+__crc+__ksymtab	symvers=98ec6f6f@vmlinux[line=5446];vmlinux=98ec6f6f@__crc___pm_wakeup_event[line=38281];ksymtab=1
candidate-builtin	ok	__rcu_read_lock	8d522714	vmlinux+__crc+__ksymtab	symvers=8d522714@vmlinux[line=914];vmlinux=8d522714@__crc___rcu_read_lock[line=38295];ksymtab=1
candidate-builtin	ok	__rcu_read_unlock	2469810f	vmlinux+__crc+__ksymtab	symvers=2469810f@vmlinux[line=4427];vmlinux=2469810f@__crc___rcu_read_unlock[line=38296];ksymtab=1
candidate-builtin	ok	__stack_chk_fail	db7305a1	vmlinux+__crc+__ksymtab	symvers=db7305a1@vmlinux[line=4625];vmlinux=db7305a1@__crc___stack_chk_fail[line=38367];ksymtab=1
candidate-builtin	ok	__stack_chk_guard	8f678b07	vmlinux+__crc+__ksymtab	symvers=8f678b07@vmlinux[line=5040];vmlinux=8f678b07@__crc___stack_chk_guard[line=38368];ksymtab=1
candidate-builtin	ok	__tasklet_schedule	0faef0ed	vmlinux+__crc+__ksymtab	symvers=0faef0ed@vmlinux[line=3037];vmlinux=0faef0ed@__crc___tasklet_schedule[line=38381];ksymtab=1
