item	assessment	section	architecture	source_path	install_path	sha256	source_or_reason	current_payload	current_install_path	current_provider
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/bin/hw/vendor.mediatek.hardware.gpu@1.0-service	vendor/bin/hw/vendor.mediatek.hardware.gpu@1.0-service	0b43ac65e3f2d67ca9663b8f3f1e95fa44533014ebd593c8a347b80fbf87dfd7	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/bin/hw/vendor.mediatek.hardware.gpu@1.0-service	retained vendor payload
RETAIN-DATA	configuration_or_resource	graphics	data	vendor/etc/init/vendor.mediatek.hardware.gpu@1.0-service.rc	vendor/etc/init/vendor.mediatek.hardware.gpu@1.0-service.rc	ffe134802c5ec0fb61021518f904803af21457d9b123a2f00cb4f9107cd01c7d	Init, configuration, certificates, or tuning data; retain board/carrier values unless paired with a source migration	retained_unchanged	vendor/etc/init/vendor.mediatek.hardware.gpu@1.0-service.rc	retained vendor payload
OWNED-LIB	delegated	graphics	32	vendor/lib/hw/android.hardware.graphics.allocator@2.0-impl.so	vendor/lib/hw/android.hardware.graphics.allocator@2.0-impl.so	e08fd77637989d8b2df4c602a204cced8861832ac4832419f3e89cc07c6e2e7b	AOSP graphics/audio/tinycompress ABI work owned by storage agent	removed_paired_source_provider	vendor/lib/hw/android.hardware.graphics.allocator@2.0-impl.so	hardware/interfaces/graphics/allocator/2.0/default
OWNED-LIB	delegated	graphics	32	vendor/lib/hw/android.hardware.graphics.composer@2.1-impl.so	vendor/lib/hw/android.hardware.graphics.composer@2.1-impl.so	8f4221d1c37d21d755629564e6b1ffedd5d4fa93b5c2836a583c8da89de8c999	AOSP graphics/audio/tinycompress ABI work owned by storage agent	removed_paired_source_provider	vendor/lib/hw/android.hardware.graphics.composer@2.1-impl.so	hardware/interfaces/graphics/composer/2.1/default
OWNED-LIB	delegated	graphics	32	vendor/lib/hw/android.hardware.graphics.mapper@2.0-impl.so	vendor/lib/hw/android.hardware.graphics.mapper@2.0-impl.so	77f4cf8c0fb16e7c17177fd7cce0b2ff81714cd380c60459424b6696bdf77f7d	AOSP graphics/audio/tinycompress ABI work owned by storage agent	removed_paired_source_provider	vendor/lib/hw/android.hardware.graphics.mapper@2.0-impl.so	hardware/interfaces/graphics/mapper/2.0/default
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/hw/gralloc.mt6755.so	vendor/lib/hw/gralloc.mt6755.so	686f52d2eabcc5ec14f0b9470c5d8df16a58b3d276a1101fe35c53da12053747	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/hw/gralloc.mt6755.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/egl/libGLES_mali.so	vendor/lib/egl/libGLES_mali.so	ae93cf0b5730e619352c4b0ababa2317a5968d042167d3c557625644b5ac5b80	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/egl/libGLES_mali.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/libdpframework.so	vendor/lib/libdpframework.so	f2d24f07d797cdcc912478dfa47d70b4b6c7fbfd9123c5207c1aa2955721b29f	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/libdpframework.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/libged.so	vendor/lib/libged.so	8d3f2a0910d4f0ccdff17de8c29549f047febd871790feaf18ecb4527763d407	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/libged.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/libgpu_aux.so	vendor/lib/libgpu_aux.so	76657ed1120bd1cdf1757bfa0dfec627396b6d6581e2b81c3cbbeb1c4f0720a3	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/libgpu_aux.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/libgpud.so	vendor/lib/libgpud.so	b40686aeffdd5b5977c67e8ed8214462d025e5d9135fcbc71dbca11b80924011	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/libgpud.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/libgralloc_extra.so	vendor/lib/libgralloc_extra.so	52017263d40d2d480a6378cb0ce4120216c47a2816c1de9e1c92df1f156ccd02	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/libgralloc_extra.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/libion_mtk.so	vendor/lib/libion_mtk.so	a120f5023a98dd12a60651616bffad75cc9903959da4799a03d705e23756482b	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/libion_mtk.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/libion_ulit.so	vendor/lib/libion_ulit.so	4d9d08edf2b58fd63bb16fe2ce40dff5a815d1dc1c3b8b68e30687df7dafd519	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/libion_ulit.so	retained vendor payload
SR21	public_stub_not_equivalent	graphics	32	vendor/lib/libladder.so	vendor/lib/libladder.so	03c78dcbb2e18dc1409e2b15f04ffdb3ba10329084aa7cbcf6e1e7e1b446b8ab	LineageOS MTK public stubs omit diagnostic or performance behavior	retained_unchanged	vendor/lib/libladder.so	retained vendor payload
