begin_marker=K50_SCREENRECORD_BEGIN_1378835_22017_7585
end_marker=K50_SCREENRECORD_END_1378835_22017_7585
begin_write_rc=0
end_write_rc=0
logcat_rc=0
begin_count=1
end_count=1
window_reason=complete
window_readable=true
   331.780   499   499 I OMXMaster: makeComponentInstance(OMX.MTK.VIDEO.ENCODER.AVC) in android.hardwar process
   331.783   499   499 D MtkOmxVenc: [0xf104d000] MtkOmxVenc::ComponentInit (OMX.MTK.VIDEO.ENCODER.AVC)
   331.791  7400  7404 I ACodec  : [OMX.MTK.VIDEO.ENCODER.AVC] cannot encode color aspects. Ignoring.
   331.792  7400  7404 I ACodec  : [OMX.MTK.VIDEO.ENCODER.AVC] cannot encode HDR static metadata. Ignoring.
   331.792  7400  7404 I ACodec  : setupVideoEncoder succeeded
   331.927   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=15632 (us), RGB_2_YUV=12, FrameCount= 0, buf timestamp=331900 (331900611) IsKey(1), Size(8098)  Slotbitcount(64784) : in VA=0xF109E2A0, offset=0x00000000, len=12, flags=0x80000010 : out VA=0xED74A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.045   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7390 (us), RGB_2_YUV=2, FrameCount= 1, buf timestamp=333037 (333037637) IsKey(0), Size(2234)  Slotbitcount(17872) : in VA=0xF109E320, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xED44A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.061   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7616 (us), RGB_2_YUV=2, FrameCount= 2, buf timestamp=333053 (333053186) IsKey(0), Size(1509)  Slotbitcount(29944) : in VA=0xF109E340, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xED14A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.076   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7572 (us), RGB_2_YUV=2, FrameCount= 3, buf timestamp=333068 (333068641) IsKey(0), Size(113)  Slotbitcount(30848) : in VA=0xF109E380, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xECE4A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.092   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7472 (us), RGB_2_YUV=2, FrameCount= 4, buf timestamp=333084 (333084638) IsKey(0), Size(97)  Slotbitcount(31624) : in VA=0xF109E3C0, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xECB4A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.108   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7189 (us), RGB_2_YUV=2, FrameCount= 5, buf timestamp=333100 (333100654) IsKey(0), Size(97)  Slotbitcount(32400) : in VA=0xF109E400, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xEC84A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.124   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7467 (us), RGB_2_YUV=1, FrameCount= 6, buf timestamp=333116 (333116345) IsKey(0), Size(97)  Slotbitcount(33176) : in VA=0xF109E440, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xEC54A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.140   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7111 (us), RGB_2_YUV=2, FrameCount= 7, buf timestamp=333132 (333132732) IsKey(0), Size(97)  Slotbitcount(33952) : in VA=0xF109E480, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xEDA4A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.156   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7402 (us), RGB_2_YUV=2, FrameCount= 8, buf timestamp=333148 (333148133) IsKey(0), Size(97)  Slotbitcount(34728) : in VA=0xF109E4C0, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xED74A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.171   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7110 (us), RGB_2_YUV=2, FrameCount= 9, buf timestamp=333164 (333164015) IsKey(0), Size(97)  Slotbitcount(35504) : in VA=0xF109E500, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xED44A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.187   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7084 (us), RGB_2_YUV=2, FrameCount= 10, buf timestamp=333179 (333179839) IsKey(0), Size(97)  Slotbitcount(36280) : in VA=0xF109E580, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xED14A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.203   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7277 (us), RGB_2_YUV=2, FrameCount= 11, buf timestamp=333195 (333195746) IsKey(0), Size(97)  Slotbitcount(37056) : in VA=0xF109E5C0, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xECE4A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.219   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7084 (us), RGB_2_YUV=2, FrameCount= 12, buf timestamp=333212 (333212185) IsKey(0), Size(97)  Slotbitcount(37832) : in VA=0xF109E2A0, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xECB4A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.235   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7243 (us), RGB_2_YUV=1, FrameCount= 13, buf timestamp=333227 (333227416) IsKey(0), Size(97)  Slotbitcount(38608) : in VA=0xF109E320, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xEC84A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.251   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7175 (us), RGB_2_YUV=1, FrameCount= 14, buf timestamp=333243 (333243366) IsKey(0), Size(97)  Slotbitcount(39384) : in VA=0xF109E340, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xEC54A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.267   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7259 (us), RGB_2_YUV=1, FrameCount= 15, buf timestamp=333259 (333259125) IsKey(0), Size(97)  Slotbitcount(40160) : in VA=0xF109E380, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xEDA4A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.282   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7241 (us), RGB_2_YUV=2, FrameCount= 16, buf timestamp=333275 (333275065) IsKey(0), Size(97)  Slotbitcount(40936) : in VA=0xF109E3C0, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xED74A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.299   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=6989 (us), RGB_2_YUV=1, FrameCount= 17, buf timestamp=333291 (333291359) IsKey(0), Size(97)  Slotbitcount(41712) : in VA=0xF109E400, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xED44A000, offset=0x00000000sec:0x0, 0x0, pending=1
   333.314   499  7407 D MtkOmxVenc: [0xf104d000] AVC EncTime=7299 (us), RGB_2_YUV=2, FrameCount= 18, buf timestamp=333307 (333307056) IsKey(0), Size(97)  Slotbitcount(42488) : in VA=0xF109E440, offset=0x00000000, len=12, flags=0x00000010 : out VA=0xED14A000, offset=0x00000000sec:0x0, 0x0, pending=1
